customer_id,signup_date,customer_age,country,region,city,industry,company_size,subscription_plan,contract_type,contract_length_months,monthly_recurring_revenue,payment_method,support_tickets,usage_score,login_frequency,nps_score,discount_percentage,tenure_months,customer_segment,customer_lifetime_value,customer_acquisition_cost,acquisition_channel,acquisition_month,is_active,churn,last_transaction_date,days_since_last_transaction,frequency_score,monetary_score,average_transaction_value,total_transactions,total_revenue,total_profit,customer_profitability,risk_score
CUST_000000,2023-07-31,49,Germany,Europe,North Judithbury,Healthcare,Mid-Market,Enterprise,Annual,12,3820.08,Credit Card,6.0,48.7,21.1,-15.0,8.1,17,Core,29255.45,3707.92,Outbound Sales,2023-07,1,0,2024-11-27,34,2,5,6300.59,15,94508.87,79350.76,Top,12.0
CUST_000001,2024-10-28,36,India,APAC,East Jill,Technology,Startup,Professional,Monthly,1,82.43,Credit Card,5.0,61.0,21.2,8.0,0.0,2,New / Onboarding,228.97,75.15,Organic Search,2024-10,1,0,2024-12-25,6,3,3,177.98,16,2847.75,2240.81,Medium,36.0
CUST_000002,2024-05-26,33,UK,Europe,New Roberttown,Technology,Startup,Basic,Monthly,1,38.92,PayPal,3.0,39.9,12.1,7.0,2.1,7,Core,61.26,85.1,Content Marketing,2024-05,1,0,2024-12-15,16,3,2,72.51,16,1160.09,788.05,Low,62.2
CUST_000003,2024-02-12,38,USA,North America,East Jessetown,Technology,Small Business,Professional,Annual,12,185.71,Credit Card,5.0,46.6,14.1,11.0,6.2,10,Core,600.68,640.14,Outbound Sales,2024-02,0,1,2024-07-09,175,2,3,292.17,14,4090.32,3325.06,High,29.0
CUST_000004,2022-11-30,61,USA,North America,Lake Debra,Technology,Small Business,Professional,Monthly,1,166.13,ACH,2.0,29.6,7.0,-17.0,4.1,25,Low Engagement,343.36,314.37,Content Marketing,2022-11,0,1,2023-05-20,591,1,2,224.36,11,2467.93,1955.02,Medium,46.4
CUST_000005,2022-11-30,40,Australia,APAC,Robinsonshire,Healthcare,Mid-Market,Professional,Annual,12,277.17,PayPal,1.0,64.9,19.1,34.0,7.4,25,Core,4350.16,3486.06,Paid Search,2022-11,1,0,2024-11-19,42,3,4,391.41,17,6653.96,5434.0,High,5.9
CUST_000006,2022-06-29,60,Canada,North America,Lisatown,Healthcare,Enterprise,Enterprise,Monthly,1,7100.99,Credit Card,5.0,77.7,27.0,6.0,10.3,30,Strategic,187340.82,18949.25,Paid Search,2022-06,1,0,2024-11-10,51,4,5,9494.81,18,170906.51,140304.24,Top,3.4
CUST_000007,2024-08-31,46,UK,Europe,Lake Roberto,Finance,Startup,Basic,Monthly,1,35.77,Credit Card,9.0,15.1,4.1,-28.0,0.0,4,At Risk,41.98,264.96,Paid Social,2024-08,0,1,2024-10-20,72,5,2,68.21,20,1364.23,929.1,Medium,85.2
CUST_000008,2024-02-14,43,USA,North America,Ericmouth,Retail,Mid-Market,Enterprise,Multi-Year,24,3504.14,ACH,6.0,68.9,17.8,10.0,15.1,10,Champion,17603.64,1917.92,Paid Search,2024-02,1,0,2024-12-15,16,5,5,4724.2,21,99208.3,78853.09,Top,16.9
CUST_000009,2024-05-08,26,India,APAC,North Noahstad,Healthcare,Startup,Basic,Monthly,1,32.34,Credit Card,0.0,40.0,14.2,-8.0,0.0,7,Low Engagement,66.0,271.52,Paid Social,2024-05,1,0,2024-12-13,18,2,1,61.84,14,865.79,575.07,Low,49.0
