year_month,year,quarter,month,month_number,season,holiday_flag,gross_revenue,net_revenue,profit,profit_margin,active_customers,new_customers,churned_customers,transaction_count,average_order_value,growth_rate,forecast_target
2022-01-01,2022,1,January,1,Winter,1,36182.87,33185.2,27604.79,0.7629,54,54,0,51,709.47,0.0,33185.2
2022-02-01,2022,1,February,2,Winter,0,151156.34,133149.49,110325.27,0.7299,185,131,0,141,1072.03,301.23,133149.49
2022-03-01,2022,1,March,3,Spring,0,177521.19,161157.12,132390.81,0.7458,380,197,2,302,587.82,21.03,161157.12
2022-04-01,2022,2,April,4,Spring,0,412846.18,361924.65,298546.4,0.7231,588,211,3,468,882.15,124.58,361924.65
2022-05-01,2022,2,May,5,Spring,0,678296.64,600091.07,496182.47,0.7315,866,284,6,685,990.21,65.81,600091.07
2022-06-01,2022,2,June,6,Summer,0,903817.36,792298.94,658675.43,0.7288,1176,316,6,853,1059.57,32.029999999999994,792298.94
2022-07-01,2022,3,July,7,Summer,0,1116090.67,974974.27,805380.48,0.7216,1508,341,9,1091,1023.0,23.06,974974.27
2022-08-01,2022,3,August,8,Summer,0,1437394.76,1247280.35,1030613.22,0.717,1887,388,9,1393,1031.87,27.93,1247280.35
2022-09-01,2022,3,September,9,Fall,0,1813235.71,1603424.87,1331143.74,0.7341,2261,382,8,1624,1116.52,28.549999999999997,1603424.87
2022-10-01,2022,4,October,10,Fall,0,2434699.11,2140850.63,1788121.1,0.7344,2653,416,24,2037,1195.24,33.52,2140850.63
2022-11-01,2022,4,November,11,Fall,1,3041557.17,2646110.72,2199198.71,0.7231,3033,404,24,2241,1357.23,23.6,2646110.72
2022-12-01,2022,4,December,12,Winter,1,3654448.59,3188575.21,2636283.67,0.7214,3492,481,22,2677,1365.13,20.5,3188575.21
2023-01-01,2023,1,January,1,Winter,1,3271236.08,2836739.42,2341603.42,0.7158,3975,518,35,3150,1038.49,-11.03,2836739.42
2023-02-01,2023,1,February,2,Winter,0,3649188.31,3192886.86,2666679.68,0.7308,4385,451,41,3075,1186.73,12.55,3192886.86
2023-03-01,2023,1,March,3,Spring,0,4793446.79,4182949.96,3485475.5,0.7271,4897,553,41,3951,1213.22,31.01,4182949.96
2023-04-01,2023,2,April,4,Spring,0,5441992.75,4760744.26,3962435.95,0.7281,5398,537,36,4249,1280.77,13.81,4760744.26
2023-05-01,2023,2,May,5,Spring,0,6770627.21,5949383.5,4988782.54,0.7368,5886,567,79,4925,1374.75,24.97,5949383.5
2023-06-01,2023,2,June,6,Summer,0,7015435.66,6135910.5,5085447.78,0.7249,6435,623,74,5263,1332.97,3.1399999999999997,6135910.5
2023-07-01,2023,3,July,7,Summer,0,8853448.34,7753465.41,6449619.97,0.7285,7015,635,55,6079,1456.4,26.36,7753465.41
2023-08-01,2023,3,August,8,Summer,0,9317054.01,8099653.32,6708957.47,0.7201,7584,651,82,6673,1396.23,4.46,8099653.32
2023-09-01,2023,3,September,9,Fall,0,10978800.6,9617290.35,8021581.14,0.7306,8175,694,103,7152,1535.07,18.74,9617290.35
2023-10-01,2023,4,October,10,Fall,0,13601602.7,11970759.14,10021826.62,0.7368,8756,700,119,8156,1667.68,24.47,11970759.14
2023-11-01,2023,4,November,11,Fall,1,15189536.73,13262708.18,11092628.05,0.7303,9346,702,112,8579,1770.55,10.79,13262708.18
2023-12-01,2023,4,December,12,Winter,1,19182745.11,16836077.29,14090448.52,0.7345,9953,754,147,9854,1946.7,26.94,16836077.29
2024-01-01,2024,1,January,1,Winter,1,14922953.51,12973355.3,10780383.97,0.7224,10556,753,150,10917,1366.95,-22.94,12973355.3
2024-02-01,2024,1,February,2,Winter,0,17273829.98,15073917.24,12552222.46,0.7267,11085,720,191,11158,1548.11,16.189999999999998,15073917.24
2024-03-01,2024,1,March,3,Spring,0,21654258.49,18921404.98,15820872.78,0.7306,11636,759,208,12865,1683.19,25.52,18921404.98
2024-04-01,2024,2,April,4,Spring,0,24281929.04,21269365.68,17719908.0,0.7298,12226,796,206,13727,1768.92,12.41,21269365.68
2024-05-01,2024,2,May,5,Spring,0,28441792.38,24824932.75,20673571.87,0.7269,12776,814,264,15739,1807.09,16.72,24824932.75
2024-06-01,2024,2,June,6,Summer,0,31344900.92,27443507.71,22835306.14,0.7285,13249,800,327,16666,1880.77,10.55,27443507.71
2024-07-01,2024,3,July,7,Summer,0,35928610.68,31379287.23,26191893.28,0.729,13742,840,347,18971,1893.87,14.34,31379287.23
2024-08-01,2024,3,August,8,Summer,0,39290307.47,34275434.14,28531279.15,0.7262,14189,844,397,21192,1854.02,9.23,34275434.14
2024-09-01,2024,3,September,9,Fall,0,48837962.41,42571880.09,35576599.97,0.7285,14629,903,463,23541,2074.59,24.21,42571880.09
2024-10-01,2024,4,October,10,Fall,0,63328146.36,55230427.25,46105950.02,0.728,14940,894,583,27815,2276.76,29.73,55230427.25
2024-11-01,2024,4,November,11,Fall,1,83474867.08,72802865.14,60922048.24,0.7298,15182,887,645,33279,2508.33,31.819999999999997,72802865.14
2024-12-01,2024,4,December,12,Winter,1,73956643.34,64506289.12,53957716.34,0.7296,14440,0,742,25560,2893.45,-11.4,64506289.12
