feature,importance
numeric__last_transaction_date_month,0.2627655
numeric__last_transaction_date_year,0.14579634
numeric__signup_date_quarter,0.08122563
numeric__days_since_last_transaction,0.08041151
numeric__acquisition_month_year,0.051947813
numeric__tenure_months,0.03281243
numeric__support_tickets_per_tenure_month,0.031582143
numeric__signup_date_year,0.025899183
numeric__usage_score,0.013011187
numeric__signup_date_month,0.011720222
numeric__customer_lifetime_value,0.01101923
numeric__txn_completed_count,0.008459546
numeric__total_transactions,0.008333902
numeric__frequency_score,0.0078082234
numeric__login_frequency,0.006568838
numeric__txn_count_from_transactions,0.0062244474
numeric__acquisition_month_month,0.006183176
numeric__last_transaction_date_quarter,0.0059264665
numeric__total_revenue,0.0050994195
numeric__txn_failed_count,0.0048885033
categorical__region_Europe,0.0048238537
categorical__company_size_Mid-Market,0.004751843
numeric__txn_failed_rate,0.0045894682
numeric__login_frequency_per_tenure_month,0.004584681
numeric__nps_score,0.004476598
categorical__region_North America,0.0044442243
numeric__average_transaction_value,0.004254242
categorical__industry_Manufacturing,0.0041281423
categorical__country_Germany,0.0040286784
numeric__contract_length_months,0.003952503
numeric__total_profit,0.003950072
categorical__region_MEA,0.003939733
categorical__region_LATAM,0.0038460395
numeric__discount_percentage,0.003682319
numeric__customer_profit_margin_calculated,0.003658107
numeric__customer_acquisition_cost,0.0036473882
categorical__company_size_Startup,0.0036429607
categorical__payment_method_ACH,0.0036351627
numeric__txn_profit_sum,0.0036278681
numeric__txn_downgrade_rate,0.003602627
numeric__txn_downgrade_count,0.0035247284
categorical__acquisition_channel_Organic Search,0.0035084425
numeric__revenue_per_customer_transaction,0.0034987698
numeric__txn_gross_amount_sum,0.0034683482
numeric__monthly_recurring_revenue,0.0034662695
numeric__txn_net_revenue_sum,0.0034007588
categorical__acquisition_channel_Outbound Sales,0.003341397
numeric__txn_upgrade_rate,0.003328906
numeric__txn_support_rate,0.0032946274
categorical__acquisition_channel_Paid Social,0.0032320956
numeric__discount_to_mrr_ratio,0.0032165023
numeric__txn_refund_amount_sum,0.003172524
categorical__region_APAC,0.0031619004
categorical__industry_Other,0.003013647
categorical__country_USA,0.002946711
numeric__txn_avg_payment_delay_days,0.0029310405
categorical__industry_Retail,0.0028485549
numeric__customer_age,0.0028176557
categorical__industry_Technology,0.0027977624
numeric__support_tickets,0.0027826119
numeric__txn_refunded_rate,0.0027766041
categorical__subscription_plan_Professional,0.002711976
categorical__company_size_Small Business,0.0026826484
categorical__country_Australia,0.002625347
categorical__payment_method_PayPal,0.0026244982
categorical__acquisition_channel_Content Marketing,0.0025927383
categorical__acquisition_channel_Referral,0.0025623518
categorical__industry_Finance,0.0025208432
categorical__industry_Real Estate,0.0024334616
categorical__country_India,0.002400621
numeric__txn_upgrade_count,0.0023534694
categorical__acquisition_channel_Paid Search,0.0022305427
categorical__contract_type_Annual,0.0022282484
categorical__payment_method_Credit Card,0.0020002904
numeric__txn_support_count,0.001958268
categorical__payment_method_Invoice,0.0019397165
categorical__country_UK,0.0018908313
categorical__industry_Education,0.0018620292
categorical__acquisition_channel_Partnership,0.0017904232
categorical__country_Canada,0.0017857691
categorical__country_Other,0.001325807
categorical__contract_type_Monthly,0.0
categorical__contract_type_Multi-Year,0.0
numeric__txn_refunded_count,0.0
categorical__subscription_plan_Business,0.0
categorical__subscription_plan_Basic,0.0
categorical__company_size_Enterprise,0.0
categorical__payment_method_Wire Transfer,0.0
numeric__acquisition_month_quarter,0.0
numeric__monetary_score,0.0
categorical__industry_Healthcare,0.0
categorical__subscription_plan_Enterprise,0.0
