cohort_month,cohort_size
2022-01-01,54
2022-02-01,131
2022-03-01,197
2022-04-01,211
2022-05-01,284
2022-06-01,316
2022-07-01,341
2022-08-01,388
2022-09-01,382
2022-10-01,416
2022-11-01,404
2022-12-01,481
2023-01-01,518
2023-02-01,451
2023-03-01,553
2023-04-01,537
2023-05-01,567
2023-06-01,623
2023-07-01,635
2023-08-01,651
2023-09-01,694
2023-10-01,700
2023-11-01,702
2023-12-01,754
2024-01-01,753
2024-02-01,720
2024-03-01,759
2024-04-01,796
2024-05-01,814
2024-06-01,800
2024-07-01,840
2024-08-01,844
2024-09-01,903
2024-10-01,894
2024-11-01,887
