cohort_month,cohort_index,cohort_size,active_customers,retention_rate
2022-01-01,1,54,48,0.8888888888888888
2022-01-01,2,54,12,0.2222222222222222
2022-01-01,3,54,39,0.7222222222222222
2022-01-01,4,54,17,0.3148148148148148
2022-01-01,5,54,33,0.6111111111111112
2022-01-01,6,54,26,0.48148148148148145
2022-01-01,7,54,26,0.48148148148148145
2022-01-01,8,54,27,0.5
2022-01-01,9,54,26,0.48148148148148145
2022-01-01,10,54,25,0.46296296296296297
2022-01-01,11,54,23,0.42592592592592593
2022-01-01,12,54,20,0.37037037037037035
2022-01-01,13,54,29,0.5370370370370371
2022-01-01,14,54,20,0.37037037037037035
2022-01-01,15,54,23,0.42592592592592593
2022-01-01,16,54,19,0.35185185185185186
2022-01-01,17,54,28,0.5185185185185185
2022-01-01,18,54,16,0.2962962962962963
2022-01-01,19,54,26,0.48148148148148145
2022-01-01,20,54,19,0.35185185185185186
2022-01-01,21,54,27,0.5
2022-01-01,22,54,15,0.2777777777777778
2022-01-01,23,54,22,0.4074074074074074
2022-01-01,24,54,25,0.46296296296296297
2022-01-01,25,54,21,0.3888888888888889
2022-01-01,26,54,15,0.2777777777777778
2022-01-01,27,54,21,0.3888888888888889
2022-01-01,28,54,21,0.3888888888888889
2022-01-01,29,54,19,0.35185185185185186
2022-01-01,30,54,17,0.3148148148148148
2022-01-01,31,54,22,0.4074074074074074
2022-01-01,32,54,17,0.3148148148148148
2022-01-01,33,54,17,0.3148148148148148
2022-01-01,34,54,24,0.4444444444444444
2022-01-01,35,54,10,0.18518518518518517
2022-01-01,36,54,0,0.0
2022-02-01,1,131,113,0.8625954198473282
2022-02-01,2,131,31,0.2366412213740458
2022-02-01,3,131,83,0.6335877862595419
2022-02-01,4,131,64,0.48854961832061067
2022-02-01,5,131,65,0.4961832061068702
2022-02-01,6,131,59,0.45038167938931295
2022-02-01,7,131,73,0.5572519083969466
2022-02-01,8,131,62,0.4732824427480916
2022-02-01,9,131,71,0.5419847328244275
2022-02-01,10,131,61,0.46564885496183206
2022-02-01,11,131,61,0.46564885496183206
2022-02-01,12,131,59,0.45038167938931295
2022-02-01,13,131,58,0.44274809160305345
2022-02-01,14,131,66,0.5038167938931297
2022-02-01,15,131,55,0.4198473282442748
2022-02-01,16,131,57,0.4351145038167939
2022-02-01,17,131,64,0.48854961832061067
2022-02-01,18,131,57,0.4351145038167939
2022-02-01,19,131,48,0.366412213740458
2022-02-01,20,131,52,0.3969465648854962
2022-02-01,21,131,52,0.3969465648854962
2022-02-01,22,131,57,0.4351145038167939
2022-02-01,23,131,53,0.40458015267175573
2022-02-01,24,131,45,0.3435114503816794
2022-02-01,25,131,53,0.40458015267175573
2022-02-01,26,131,51,0.3893129770992366
2022-02-01,27,131,43,0.3282442748091603
2022-02-01,28,131,50,0.3816793893129771
2022-02-01,29,131,44,0.33587786259541985
2022-02-01,30,131,42,0.32061068702290074
2022-02-01,31,131,42,0.32061068702290074
2022-02-01,32,131,44,0.33587786259541985
2022-02-01,33,131,51,0.3893129770992366
2022-02-01,34,131,39,0.29770992366412213
2022-02-01,35,131,0,0.0
2022-03-01,1,197,182,0.9238578680203046
2022-03-01,2,197,45,0.22842639593908629
2022-03-01,3,197,131,0.6649746192893401
