metric,value
Total Revenue,530337543.21999997
Revenue Growth,194282.7040970071
Forecast Revenue,709544426.5703787
Active Customers,14440
Churn Rate,27.800000000000004
Customer Retention,0.8133654631718472
Average CLV,25785.832409499995
Average Order Value,1610.9791046834466
Total Profit,438885098.31
Profit Margin,82.75580409511707
Largest Customer Segment,Core
Highest Revenue Segment,Strategic
Highest Profit Segment,Strategic
Highest CLV Segment,Strategic
Top Business Risks,Elevated churn rate may pressure recurring revenue.
Top Growth Opportunities,Healthy profit margin supports reinvestment in growth and retention. | Positive revenue trend can be amplified through high-performing segments. | Prioritize high-value RFM segments for expansion and retention offers.
Final Business Recommendation,Deploy a dual-track strategy: protect high-risk revenue with retention actions while scaling high-margin segments and channels.
