metric,value
Total Revenue,530337543.22
Total Profit,438885098.31
Average Profit Margin,0.6544
Highest Revenue Category,Renewal
Highest Profit Category,Renewal
Most Profitable Customers,"CUST_010049, CUST_000464, CUST_001130, CUST_016480, CUST_010989"
Least Profitable Customers,"CUST_005045, CUST_004019, CUST_011627, CUST_007605, CUST_012620"
Revenue Concentration,Top 10 customers contribute 0.88% of total revenue
Business Risks,Margin compression from high operating/marketing cost and refund concentration in low-profit cohorts
Growth Opportunities,"Improve pricing, reduce cost-to-serve for loss-making accounts, and expand high-margin categories/channels"
