customer_id,churn_probability,predicted_churn,actual_churn,risk_segment,country,region,industry,company_size,subscription_plan,contract_type,monthly_recurring_revenue,support_tickets,usage_score,login_frequency,nps_score,tenure_months,days_since_last_transaction,total_transactions,total_revenue,total_profit
CUST_005242,0.9999474,1,1,High Risk,USA,North America,Manufacturing,Startup,Basic,Monthly,30.77,4.0,23.9,6.7,-33.0,13,247,24,1153.5,733.74
CUST_012496,0.9999323,1,1,High Risk,Canada,North America,Healthcare,Startup,Basic,Annual,38.28,1.0,19.1,10.0,-21.0,9,249,17,1045.86,698.72
CUST_004733,0.9999311,1,1,High Risk,UK,Europe,Education,Startup,Basic,Annual,33.17,5.0,34.7,5.1,7.0,2,47,18,1133.0,792.98
CUST_010097,0.9999285,1,1,High Risk,USA,North America,Real Estate,Startup,Professional,Monthly,83.34,7.0,44.2,10.0,-29.0,7,188,21,3157.81,2416.66
CUST_018065,0.99992406,1,1,High Risk,USA,North America,Education,Startup,Basic,Annual,27.93,6.0,34.4,10.6,-26.0,6,176,22,1011.62,606.88
CUST_015458,0.9999238,1,1,High Risk,USA,North America,Retail,Startup,Professional,Monthly,102.32,7.0,43.8,8.8,-12.0,8,206,20,3492.02,2775.01
CUST_009633,0.99991834,1,1,High Risk,India,APAC,Other,Small Business,Business,Annual,403.74,2.0,58.5,17.2,9.0,8,236,17,11903.34,9940.47
CUST_009966,0.9999182,1,1,High Risk,Australia,APAC,Real Estate,Startup,Professional,Monthly,92.61,5.0,32.1,8.5,4.0,7,198,18,2954.81,2271.28
CUST_017139,0.999918,1,1,High Risk,USA,North America,Real Estate,Mid-Market,Professional,Annual,383.14,4.0,52.3,14.5,-20.0,7,190,19,12157.85,9997.9
CUST_002931,0.9999174,1,1,High Risk,USA,North America,Finance,Startup,Basic,Monthly,34.8,6.0,24.8,13.4,-7.0,8,197,22,1289.15,851.32
CUST_016690,0.9999161,1,1,High Risk,USA,North America,Other,Startup,Basic,Monthly,28.61,3.0,63.9,17.3,9.0,7,197,20,966.76,570.11
CUST_005917,0.9999156,1,1,High Risk,UK,Europe,Education,Small Business,Professional,Annual,159.03,5.0,33.7,14.9,-12.0,8,195,17,4361.27,3480.23
CUST_003028,0.9999155,1,1,High Risk,USA,North America,Education,Startup,Professional,Monthly,76.31,4.0,50.4,15.8,-15.0,8,235,17,2022.33,1508.89
CUST_003106,0.9999131,1,1,High Risk,Germany,Europe,Healthcare,Mid-Market,Professional,Annual,402.89,3.0,49.1,16.4,11.0,7,188,17,11057.24,9157.11
CUST_014312,0.99991286,1,1,High Risk,UK,Europe,Technology,Startup,Professional,Annual,120.87,6.0,50.8,18.7,-23.0,9,207,18,3717.82,2941.16
CUST_002659,0.999912,1,1,High Risk,Canada,North America,Technology,Small Business,Basic,Monthly,39.15,4.0,41.4,11.5,-23.0,9,238,19,1152.63,746.59
CUST_008076,0.9999105,1,1,High Risk,USA,North America,Education,Startup,Professional,Monthly,92.21,3.0,42.3,10.5,-7.0,10,239,20,3077.68,2378.36
CUST_002559,0.9999088,1,1,High Risk,Germany,Europe,Retail,Small Business,Professional,Monthly,129.37,3.0,36.1,13.7,-12.0,13,288,17,3546.13,2807.73
CUST_006370,0.9999075,1,1,High Risk,Other,LATAM,Manufacturing,Startup,Professional,Monthly,97.66,8.0,49.2,9.4,26.0,8,213,17,2861.05,2301.79
CUST_008001,0.9999058,1,1,High Risk,UK,Europe,Finance,Startup,Business,Annual,208.45,5.0,42.7,8.6,11.0,8,215,19,6118.74,4900.82
CUST_003211,0.9999056,1,1,High Risk,India,APAC,Finance,Startup,Professional,Monthly,86.59,3.0,46.2,15.9,-9.0,8,226,18,2672.54,2035.75
CUST_016593,0.99990296,1,1,High Risk,India,APAC,Finance,Startup,Professional,Monthly,81.5,1.0,33.9,14.8,11.0,15,202,17,2397.08,1830.41
CUST_009626,0.99990296,1,1,High Risk,USA,North America,Retail,Small Business,Business,Monthly,284.78,4.0,43.9,15.8,-2.0,10,204,17,7856.02,6496.82
CUST_013647,0.9999014,1,1,High Risk,Germany,Europe,Education,Small Business,Basic,Annual,52.54,7.0,36.3,8.5,-17.0,9,204,18,1537.62,1069.61
CUST_011585,0.99989927,1,1,High Risk,Canada,North America,Retail,Startup,Basic,Monthly,31.62,4.0,54.6,12.3,-2.0,8,224,17,862.24,517.35
CUST_003353,0.9998981,1,1,High Risk,UK,Europe,Real Estate,Startup,Professional,Annual,80.01,4.0,44.6,12.6,14.0,13,280,21,2607.27,1957.83
CUST_010070,0.99989784,1,1,High Risk,UK,Europe,Real Estate,Startup,Basic,Annual,25.41,5.0,51.7,11.2,-0.0,2,42,20,1071.58,685.56
CUST_012427,0.99989736,1,1,High Risk,USA,North America,Healthcare,Small Business,Business,Annual,373.15,6.0,39.4,11.1,1.0,10,232,18,10237.84,8417.64
CUST_003932,0.99989617,1,1,High Risk,Germany,Europe,Technology,Startup,Basic,Monthly,34.6,10.0,49.1,9.7,-15.0,9,238,20,1172.4,774.27
