customer_id,rfm_segment,rfm_score,rfm_total_score,recency,frequency,monetary,average_order_value,usage_score,login_frequency,nps_score,support_tickets,subscription_plan,contract_type,country
CUST_010120,Low Value Dormant,111,3,268,8,211.39000000000001,26.423750000000002,56.0,8.0,-2.0,7.0,Basic,Annual,USA
CUST_007605,Low Value Dormant,111,3,130,9,219.31,24.36777777777778,52.4,18.7,4.0,5.0,Basic,Monthly,UK
CUST_018179,Low Value Dormant,111,3,440,8,228.49,28.56125,40.5,25.5,-35.0,5.0,Basic,Monthly,Australia
CUST_011858,Low Value Dormant,111,3,101,5,267.08,53.416,59.9,19.3,-2.0,4.0,Basic,Annual,Australia
CUST_000128,Low Value Dormant,111,3,603,9,287.58,31.953333333333333,49.1,16.6,-9.0,6.0,Basic,Monthly,Canada
CUST_011815,Low Value Dormant,111,3,333,9,295.42,32.824444444444445,40.3,11.7,-24.0,7.0,Basic,Monthly,Other
CUST_017289,Low Value Dormant,111,3,186,8,297.15999999999997,37.144999999999996,37.9,9.0,-10.0,4.0,Basic,Monthly,Germany
CUST_012729,Low Value Dormant,111,3,305,7,303.62,43.37428571428571,43.6,9.0,10.0,2.0,Basic,Annual,USA
CUST_016939,Low Value Dormant,111,3,297,11,305.76,27.796363636363637,61.9,17.2,8.0,3.0,Basic,Monthly,USA
CUST_014306,Low Value Dormant,111,3,659,10,307.96999999999997,30.796999999999997,34.5,9.5,20.0,3.0,Basic,Multi-Year,USA
CUST_014451,Low Value Dormant,111,3,169,8,311.59000000000003,38.948750000000004,52.7,13.7,28.0,3.0,Basic,Annual,USA
CUST_018292,Low Value Dormant,111,3,136,9,315.64,35.07111111111111,44.4,16.6,14.0,3.0,Basic,Annual,USA
CUST_011295,Low Value Dormant,111,3,87,9,316.24,35.13777777777778,32.7,5.6,-6.0,6.0,Basic,Monthly,USA
CUST_010672,Low Value Dormant,111,3,598,10,321.99,32.199,55.1,14.9,-7.0,5.0,Basic,Monthly,Australia
CUST_001030,Low Value Dormant,111,3,892,11,322.35,29.30454545454546,57.9,20.2,-14.0,8.0,Basic,Monthly,UK
CUST_008502,Low Value Dormant,111,3,103,6,323.55,53.925000000000004,47.8,17.3,27.0,2.0,Basic,Monthly,Germany
CUST_003122,Low Value Dormant,111,3,593,12,327.73,27.310833333333335,47.4,15.3,-15.0,4.0,Basic,Annual,USA
CUST_008480,Low Value Dormant,111,3,99,9,330.32,36.70222222222222,76.2,20.3,51.0,3.0,Basic,Monthly,USA
CUST_011627,Low Value Dormant,111,3,112,9,332.06,36.89555555555555,62.5,21.4,16.0,3.0,Basic,Annual,Australia
CUST_011427,Low Value Dormant,111,3,202,9,334.49,37.16555555555556,46.6,15.1,15.0,4.0,Basic,Annual,USA
CUST_014876,Low Value Dormant,111,3,471,9,337.18,37.464444444444446,37.9,8.4,6.0,4.0,Basic,Annual,India
CUST_010819,Low Value Dormant,111,3,360,10,337.83,33.783,56.4,12.1,-9.0,3.0,Basic,Monthly,UK
CUST_014650,Low Value Dormant,111,3,505,10,344.29,34.429,34.4,6.4,-16.0,4.0,Basic,Monthly,Germany
CUST_004081,Low Value Dormant,111,3,182,10,345.83000000000004,34.583000000000006,57.9,17.9,-11.0,3.0,Basic,Monthly,India
CUST_012647,Low Value Dormant,111,3,445,11,347.06,31.55090909090909,56.0,2.8,5.0,3.0,Basic,Annual,Australia
CUST_001617,Low Value Dormant,111,3,142,8,350.40999999999997,43.801249999999996,62.3,12.7,-14.0,9.0,Basic,Monthly,USA
CUST_003849,Low Value Dormant,111,3,307,10,362.65,36.265,60.4,17.6,10.0,1.0,Basic,Monthly,Germany
CUST_004649,Low Value Dormant,111,3,124,11,364.74,33.158181818181816,64.9,19.4,1.0,4.0,Basic,Annual,USA
CUST_018664,Low Value Dormant,111,3,676,12,365.22,30.435000000000002,41.7,14.4,28.0,0.0,Basic,Monthly,Other
CUST_007829,Low Value Dormant,111,3,439,12,365.74,30.478333333333335,40.1,10.6,-10.0,8.0,Basic,Monthly,Canada
CUST_017995,Low Value Dormant,111,3,90,7,367.64,52.519999999999996,30.5,12.2,-15.0,6.0,Basic,Annual,USA
CUST_014448,Low Value Dormant,111,3,271,10,369.39,36.939,26.5,7.1,-12.0,2.0,Basic,Monthly,Canada
CUST_017887,Low Value Dormant,111,3,314,9,369.65999999999997,41.07333333333333,43.6,6.6,-17.0,4.0,Basic,Annual,Canada
CUST_003974,Low Value Dormant,111,3,512,10,369.81,36.981,56.0,16.2,-14.0,3.0,Basic,Monthly,USA
CUST_008430,Low Value Dormant,111,3,131,9,370.84000000000003,41.20444444444445,53.6,14.7,10.0,1.0,Basic,Annual,India
CUST_011566,Low Value Dormant,111,3,671,11,371.36,33.76,19.6,3.0,-27.0,4.0,Basic,Annual,USA
CUST_008940,Low Value Dormant,111,3,388,8,372.58,46.5725,47.3,8.4,-22.0,3.0,Basic,Monthly,India
CUST_005205,Low Value Dormant,111,3,433,6,376.64,62.77333333333333,23.5,4.9,-12.0,2.0,Basic,Monthly,UK
CUST_017244,Low Value Dormant,111,3,166,11,378.63,34.42090909090909,63.7,16.3,36.0,3.0,Basic,Monthly,USA
