cohort_index,average_customer_retention,observed_cohorts
1,0.9305639421549717,35
2,0.7179263875291463,35
3,0.8133654631718472,34
4,0.7382840230530319,33
5,0.7349291591351725,32
6,0.7025313907921459,31
7,0.6880651226840082,30
8,0.6599995533432984,29
9,0.650621845884776,28
10,0.6351449128883964,27
11,0.606540635861034,26
12,0.5989048220761544,25
13,0.57823692814638,24
14,0.5630463397920545,23
15,0.5425999404069455,22
16,0.5203691806025199,21
17,0.5147861639359257,20
18,0.48657735279913045,19
19,0.47972064636537187,18
20,0.44212288513184483,17
21,0.4590677976244749,16
22,0.40591947589545685,15
23,0.4316573788902032,14
24,0.3954299213400462,13
25,0.4045921677664059,12
26,0.3664975695758947,11
27,0.37417851363013466,10
28,0.35499185730555693,9
29,0.3368876831881083,8
30,0.3134688759698137,7
31,0.31505561287467837,6
32,0.2948990426151092,5
33,0.24582890229323368,4
34,0.24738478936952216,3
