customer_id,rfm_segment,recency,frequency,monetary,average_order_value,rfm_score,customer_lifetime_value,usage_score,login_frequency,nps_score,support_tickets,subscription_plan,contract_type,country
CUST_009687,At Risk High Value,63,18,378156.12,21008.673333333332,245,266650.57,63.0,20.4,33.0,4.0,Enterprise,Monthly,USA
CUST_002589,At Risk High Value,144,23,359368.45,15624.715217391305,155,299686.03,71.5,21.0,42.0,7.0,Enterprise,Multi-Year,USA
CUST_010710,Big Spenders,155,15,357194.13,23812.942,135,45360.78,50.9,16.6,6.0,3.0,Enterprise,Annual,USA
CUST_012483,At Risk High Value,51,19,349718.1,18406.215789473685,255,609211.6,94.8,26.9,19.0,1.0,Enterprise,Monthly,Germany
CUST_019825,Big Spenders,136,15,335934.58999999997,22395.639333333333,135,346024.26,71.8,30.1,10.0,0.0,Enterprise,Monthly,India
CUST_019067,At Risk High Value,46,16,315621.01,19726.313125,245,439073.6,67.0,17.3,40.0,0.0,Enterprise,Monthly,USA
CUST_019278,At Risk High Value,56,18,308905.88,17161.437777777777,255,155931.94,69.2,19.3,8.0,3.0,Enterprise,Annual,Other
CUST_003673,At Risk High Value,48,17,302673.28,17804.310588235297,245,463263.89,92.8,31.0,4.0,2.0,Enterprise,Multi-Year,Germany
CUST_016870,Big Spenders,157,15,293095.9,19539.72666666667,135,214318.71,69.3,22.5,17.0,2.0,Enterprise,Annual,Germany
CUST_001690,At Risk High Value,75,19,282665.63,14877.138421052632,255,608625.0,90.9,25.9,11.0,3.0,Enterprise,Annual,UK
CUST_012018,Big Spenders,51,14,280764.92,20054.63714285714,225,209146.83,71.4,17.6,15.0,0.0,Enterprise,Monthly,India
CUST_014080,At Risk High Value,81,17,273279.65,16075.273529411767,245,436722.23,67.0,26.3,17.0,4.0,Enterprise,Annual,India
CUST_013449,At Risk High Value,80,17,272247.08,16014.53411764706,245,260290.56,80.8,28.8,-4.0,3.0,Enterprise,Annual,Canada
CUST_015435,Big Spenders,64,14,271597.89,19399.84928571429,225,797732.15,100.0,31.0,15.0,4.0,Enterprise,Annual,Australia
CUST_002546,At Risk High Value,45,19,270722.07,14248.53,255,503160.43,100.0,31.0,47.0,2.0,Enterprise,Annual,Germany
