cohort_month,cohort_index,net_revenue,initial_net_revenue,revenue_retention_rate
2022-01-01,1,33172.88,33172.88,1.0
2022-01-01,2,13276.74,33172.88,0.400228741068005
2022-01-01,3,27937.51,33172.88,0.8421792138638551
2022-01-01,4,5090.21,33172.88,0.15344492247884417
2022-01-01,5,39581.75,33172.88,1.1931960685957927
2022-01-01,6,22232.46,33172.88,0.6701998741140354
2022-01-01,7,21847.69,33172.88,0.6586009414919657
2022-01-01,8,13506.119999999999,33172.88,0.4071434255934366
2022-01-01,9,26134.4,33172.88,0.7878242709104547
2022-01-01,10,28933.37,33172.88,0.8721995196075831
2022-01-01,11,25177.739999999998,33172.88,0.7589856533409218
2022-01-01,12,20278.01,33172.88,0.6112827707452594
2022-01-01,13,31309.2,33172.88,0.943819167946829
2022-01-01,14,25824.61,33172.88,0.7784856183725984
2022-01-01,15,15345.85,33172.88,0.4626022823463022
2022-01-01,16,17669.23,33172.88,0.5326408198504321
2022-01-01,17,36685.21,33172.88,1.1058795618589643
2022-01-01,18,20282.76,33172.88,0.6114259600010611
2022-01-01,19,37284.15,33172.88,1.1239346719368353
2022-01-01,20,33324.71,33172.88,1.004576931517553
2022-01-01,21,23274.53,33172.88,0.7016131852284155
2022-01-01,22,22126.600000000002,33172.88,0.6670087131415784
2022-01-01,23,45727.89,33172.88,1.3784721133648934
2022-01-01,24,43211.619999999995,33172.88,1.3026188862709538
2022-01-01,25,29072.75,33172.88,0.8764011445494031
2022-01-01,26,17055.53,33172.88,0.5141407680008488
2022-01-01,27,37365.49,33172.88,1.1263866748982905
2022-01-01,28,32351.82,33172.88,0.9752490588697756
2022-01-01,29,37325.38,33172.88,1.125177554677194
2022-01-01,30,37645.44,33172.88,1.134825797458647
2022-01-01,31,27118.32,33172.88,0.8174846440827568
2022-01-01,32,41383.590000000004,33172.88,1.247512727263958
2022-01-01,33,25874.41,33172.88,0.7799868446755301
2022-01-01,34,55678.68,33172.88,1.6784397375205289
2022-01-01,35,14678.85,33172.88,0.44249549632109125
2022-01-01,36,0.0,33172.88,0.0
2022-02-01,1,119806.18,119806.18,1.0
2022-02-01,2,20416.74,119806.18,0.17041474822083472
2022-02-01,3,85893.2,119806.18,0.7169346355922541
2022-02-01,4,76845.99,119806.18,0.6414192489903277
2022-02-01,5,67388.48,119806.18,0.5624791642634795
2022-02-01,6,54957.15,119806.18,0.45871715465763124
2022-02-01,7,95895.97,119806.18,0.8004259045735371
2022-02-01,8,52421.04,119806.18,0.43754871409805407
2022-02-01,9,96240.63,119806.18,0.8033027177729898
2022-02-01,10,87739.02,119806.18,0.7323413533425405
2022-02-01,11,80881.5,119806.18,0.6751029037066368
2022-02-01,12,40314.13,119806.18,0.3364945781594906
2022-02-01,13,151321.78,119806.18,1.263054877469593
2022-02-01,14,59946.22,119806.18,0.5003599981236361
2022-02-01,15,86614.2,119806.18,0.7229526890849871
2022-02-01,16,48714.0,119806.18,0.40660673764909294
2022-02-01,17,109836.65,119806.18,0.9167861791436802
2022-02-01,18,73836.54000000001,119806.18,0.6162999270989193
2022-02-01,19,82660.69,119806.18,0.6899534731847723
2022-02-01,20,70469.06,119806.18,0.5881921950937756
2022-02-01,21,84830.16,119806.18,0.7080616375549242
2022-02-01,22,136672.97,119806.18,1.1407839729135842
2022-02-01,23,78366.41,119806.18,0.6541099131947952
