cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2022-01-01,33172.88,13276.74,27937.51,5090.21,39581.75,22232.46,21847.69,13506.119999999999,26134.4,28933.37,25177.739999999998,20278.01,31309.2,25824.61,15345.85,17669.23,36685.21,20282.76,37284.15,33324.71,23274.53,22126.600000000002,45727.89,43211.619999999995,29072.75,17055.53,37365.49,32351.82,37325.38,37645.44,27118.32,41383.590000000004,25874.41,55678.68,14678.85,0.0
2022-02-01,119806.18,20416.74,85893.2,76845.99,67388.48,54957.15,95895.97,52421.04,96240.63,87739.02,80881.5,40314.13,151321.78,59946.22,86614.2,48714.0,109836.65,73836.54000000001,82660.69,70469.06,84830.16,136672.97,78366.41,70962.27,103490.54000000001,71538.9,81539.96,92234.87,67539.34,90575.33,94075.52,79686.74,133642.66,77183.99,0.0,
2022-03-01,112731.14,22841.63,100580.2,70399.41,81521.03,67453.08,72818.13,93432.41,97514.8,95175.96,68661.03,87320.2,60752.81,84988.7,64954.51,63038.63,71418.2,68817.04,85575.57,76068.84,89203.45999999999,103111.75,94069.76,66484.14,72588.36,94249.86,85138.06,91220.74,129611.16,65514.81,94491.34,150820.14,100385.9,0.0,,
2022-04-01,247734.51,62834.09,213329.87,101311.52,153308.46,112189.48,193286.51,105771.23,181703.79,136660.26,105768.89,145154.5,116182.56999999999,164616.9,163156.73,175279.09,160138.83000000002,148719.96,209250.23,159812.68,206422.91999999998,112392.8,200957.04,163172.74,228393.41,173059.4,263239.73,120443.83,260542.85,184876.35,240200.16999999998,216232.11,0.0,,,
2022-05-01,319323.59,94162.24,238809.84,188548.8,219632.7,263832.85,241675.27,177027.98,186726.13,179364.47,174805.56,197159.28,264657.17,212531.25,228112.57,182408.49,235437.47,315494.56,289867.31,336769.19,226535.02,219838.16,204894.54,273610.07,263779.78,304406.23,208687.48,296012.53,272566.41000000003,283582.84,375359.83,0.0,,,,
2022-06-01,324204.12,134168.13,256249.9,128038.52,200386.36000000002,219989.53,192846.99,145019.35,151999.62,193169.81,173369.54,213715.23,205577.53,209956.43,210493.74,209072.66,200729.18,230855.06,301025.87,179452.37,240562.98,220224.56,228692.25,239375.41,242378.86000000002,232989.34,239356.07,247964.53,243556.80000000002,335797.54,0.0,,,,,
2022-07-01,341025.24,99100.63,349376.94,198204.79,367037.66,270562.32,220011.79,211311.48,263290.8,223681.48,317719.83,282468.59,359866.78,158701.19,291378.83999999997,283395.65,263285.94,380352.86,226697.53,172019.87,345670.09,207162.17,365458.69,270419.11,298417.58,286094.29,360196.38,264037.37,458530.51,0.0,,,,,,
2022-08-01,373994.36,174642.28,341360.51,257702.48,346352.83,204165.35,257691.45,226010.47,228593.0,281686.63,278103.92,247293.22,233240.49,314764.24,366806.48,289010.81,287737.39,260557.43,251680.53,234227.08,280540.84,287841.02,306467.31,299214.07,315267.29,361945.89,222624.4,509553.21,0.0,,,,,,,
2022-09-01,460777.13,212659.2,409638.25,325770.67,254616.3,195096.04,442751.42,319879.29,276419.58,244818.35,303253.43,301173.55,269384.1,310627.31,356618.46,515763.46,295669.58,270234.19,342959.96,242446.59,363487.14,356948.10000000003,331235.01,350227.44,415219.13,387348.04,500193.29,0.0,,,,,,,,
2022-10-01,508151.14,231894.3,424424.78,254058.76,299785.79,290302.23,390078.55,433044.07,297769.49,384745.18,313864.33,361153.18,423993.9,414403.22,360765.67,316994.47000000003,298086.35,365195.33,348098.03,391465.58999999997,342258.86,390108.4,360820.16,419647.54,349600.93,602230.88,292.24,,,,,,,,,
