cohort_index,average_revenue_retention,observed_cohorts
1,1.0,35
2,0.9918195925482235,35
3,1.0818348061246505,34
4,0.9793573144300824,33
5,1.0171972743358682,32
6,0.9305834840360606,31
7,0.9685147631205815,30
8,0.9102900361459715,29
9,0.9401051673002193,28
10,0.907270549152261,27
11,0.8781346407712877,26
12,0.8682034214442816,25
13,0.8698204928493428,24
14,0.8402218033184657,23
15,0.8787081488587422,22
16,0.8390677642977781,21
17,0.8576392510648196,20
18,0.8898699289463712,19
19,0.872272140394451,18
20,0.779541722489063,17
21,0.8327167453313662,16
22,0.7909114524463073,15
23,0.828080624836436,14
24,0.756553048275366,13
25,0.7807034096670016,12
26,0.7409376931168786,11
27,0.7754218187958097,10
28,0.7632259456892316,9
29,0.8549673801414048,8
30,0.7345860550261124,7
31,0.7643312811794538,6
32,0.8246711906286723,5
33,0.6964917280623736,4
34,0.7742267366411796,3
