customer_id,last_completed_transaction_date,recency,frequency,monetary,average_order_value,country,region,industry,company_size,subscription_plan,contract_type,monthly_recurring_revenue,customer_lifetime_value,support_tickets,usage_score,login_frequency,nps_score,discount_percentage,tenure_months,customer_acquisition_cost,recency_score,frequency_score,monetary_score,rfm_score,rfm_total_score,rfm_segment
CUST_000000,2024-11-27,35,15,122960.01,8197.333999999999,Germany,Europe,Healthcare,Mid-Market,Enterprise,Annual,3820.08,29255.45,6.0,48.7,21.1,-15.0,8.1,17,3707.92,3,2,5,325,10,Big Spenders
CUST_000001,2024-12-25,7,15,2827.2,188.48,India,APAC,Technology,Startup,Professional,Monthly,82.43,228.97,5.0,61.0,21.2,8.0,0.0,2,75.15,5,2,3,523,10,New or Promising
CUST_000002,2024-12-15,17,15,1157.72,77.18133333333334,UK,Europe,Technology,Startup,Basic,Monthly,38.92,61.26,3.0,39.9,12.1,7.0,2.1,7,85.1,4,2,2,422,8,New or Promising
CUST_000003,2024-07-09,176,13,4034.37,310.3361538461538,USA,North America,Technology,Small Business,Professional,Annual,185.71,600.68,5.0,46.6,14.1,11.0,6.2,10,640.14,1,1,3,113,5,Needs Attention
CUST_000004,2023-05-20,592,11,2467.93,224.35727272727271,USA,North America,Technology,Small Business,Professional,Monthly,166.13,343.36,2.0,29.6,7.0,-17.0,4.1,25,314.37,1,1,2,112,4,Low Value Dormant
CUST_000005,2024-11-19,43,17,8887.12,522.7717647058824,Australia,APAC,Healthcare,Mid-Market,Professional,Annual,277.17,4350.16,1.0,64.9,19.1,34.0,7.4,25,3486.06,3,4,4,344,11,Loyal High Value
CUST_000006,2024-11-10,52,17,207644.57,12214.386470588235,Canada,North America,Healthcare,Enterprise,Enterprise,Monthly,7100.99,187340.82,5.0,77.7,27.0,6.0,10.3,30,18949.25,2,4,5,245,11,At Risk High Value
CUST_000007,2024-10-20,73,20,1364.23,68.2115,UK,Europe,Finance,Startup,Basic,Monthly,35.77,41.98,9.0,15.1,4.1,-28.0,0.0,4,264.96,2,5,2,252,9,Needs Attention
CUST_000008,2024-12-04,28,18,178735.98,9929.776666666667,USA,North America,Retail,Mid-Market,Enterprise,Multi-Year,3504.14,17603.64,6.0,68.9,17.8,10.0,15.1,10,1917.92,4,4,5,445,13,Champions
CUST_000009,2024-12-13,19,14,865.79,61.84214285714285,India,APAC,Healthcare,Startup,Basic,Monthly,32.34,66.0,0.0,40.0,14.2,-8.0,0.0,7,271.52,4,2,1,421,7,New or Promising
CUST_000010,2024-10-28,65,13,757.6899999999999,58.28384615384615,Germany,Europe,Real Estate,Small Business,Basic,Annual,38.99,215.96,1.0,62.7,12.1,37.0,7.5,32,113.11,2,1,1,211,4,Low Value Dormant
CUST_000011,2024-12-09,23,10,476.69,47.669,USA,North America,Retail,Startup,Basic,Monthly,22.2,71.38,2.0,47.4,17.0,2.0,0.0,1,189.7,4,1,1,411,6,New or Promising
CUST_000012,2024-12-17,15,12,2253.98,187.83166666666668,USA,North America,Education,Startup,Professional,Monthly,84.86,135.13,5.0,33.1,6.6,-26.0,0.0,4,43.81,5,1,2,512,8,New or Promising
CUST_000013,2024-11-27,35,19,3151.19,165.8521052631579,UK,Europe,Real Estate,Startup,Professional,Monthly,99.68,263.44,1.0,54.8,10.2,2.0,0.1,22,70.18,3,5,3,353,11,Steady Customers
CUST_000014,2024-11-22,40,18,1976.84,109.82444444444444,UK,Europe,Technology,Startup,Professional,Annual,68.88,135.4,6.0,56.0,13.0,-34.0,2.3,23,72.6,3,4,2,342,9,Steady Customers
CUST_000015,2024-09-28,95,15,89900.04,5993.335999999999,USA,North America,Finance,Mid-Market,Enterprise,Annual,4078.72,94438.06,6.0,82.3,29.7,2.0,9.7,23,2749.69,1,2,5,125,8,Big Spenders
