rfm_segment,customers,recency_mean,frequency_mean,segment_revenue,average_monetary,average_order_value_mean,rfm_total_score_mean,customer_lifetime_value_mean,monthly_recurring_revenue_mean,usage_score_mean,login_frequency_mean,nps_score_mean,support_tickets_mean,tenure_months_mean,customer_share,revenue_share
Big Spenders,2183,47.621163536417775,13.754008245533669,226179690.96,103609.56983967018,7629.329683661359,10.36280348144755,132460.27693541,4599.511768208887,70.4105359596885,21.04704535043518,20.775080164910673,3.1181859825927623,13.492899679340358,0.10915,0.42862695524351907
Champions,1791,14.680625348967057,18.592964824120603,149310863.15,83367.31610831938,4494.93901177991,13.665549972082635,63912.660128419884,2470.197498604132,65.61797878280291,19.848576214405362,18.29034059184813,3.3456169737576773,7.674483528754886,0.08955,0.2829549389917791
Loyal High Value,804,36.1455223880597,18.318407960199004,56221832.71,69927.65262437811,3846.2359577248512,12.069651741293532,68917.38878109453,2493.8966915422884,64.80957711442787,19.37587064676617,16.784825870646767,3.351990049751244,19.82089552238806,0.0402,0.10654445971879749
At Risk High Value,823,147.34021871202916,18.149453219927096,38655769.93,46969.34377885784,2616.0468587345445,10.39854191980559,46217.108942891864,1771.3244714459295,59.19113001215067,17.405467800729042,11.292831105710814,3.650060753341434,20.650060753341435,0.04115,0.07325549388348973
Needs Attention,4460,179.6670403587444,15.717040358744395,20943744.62,4695.906865470853,336.51189849871514,7.16322869955157,1786.4308497757847,218.85258520179372,50.88233183856502,15.117959641255606,5.207174887892377,3.959192825112108,19.29080717488789,0.223,0.03968991844389791
Steady Customers,2322,28.0671834625323,15.535745047372954,20373175.73,8773.977489233419,634.4749442868908,9.882859603789836,3429.724414298019,353.4070111972437,58.1838931955211,17.63557278208441,12.905254091300604,3.5469422911283375,13.135658914728682,0.1161,0.03860864892301672
Potential Loyalists,2781,15.560949298813377,17.475008989572096,7417014.84,2667.031585760518,153.62325533207326,10.723840345199568,356.52289823804387,78.65585041352033,52.919489392304925,16.048471772743618,9.848256023013304,3.704422869471413,7.395181589356347,0.13905,0.014055782260430392
New or Promising,1504,15.982712765957446,12.72872340425532,3367864.29,2239.2714694148935,177.7275952611403,7.9900265957446805,414.31045212765963,88.33664893617022,53.73783244680851,16.238031914893618,10.355053191489361,3.7440159574468086,5.580452127659575,0.0752,0.006382347637707976
Regular Customers,1324,36.20921450151057,13.583836858006043,2834213.57,2140.6446903323263,160.2614474976601,6.93202416918429,459.32973564954676,91.91666918429003,53.31608761329305,16.124018126888217,8.581570996978853,3.775679758308157,14.174471299093655,0.0662,0.005371040732537767
Low Value Dormant,2008,178.84910358565736,12.26792828685259,2380074.49,1185.296060756972,98.11324906195786,4.346115537848606,243.00834661354583,62.124073705179285,48.28411354581673,14.221513944223107,4.035856573705179,3.99203187250996,19.384462151394423,0.1004,0.004510414164823879
