feature,mean_abs_shap
numeric__days_since_last_transaction,2.6466844
numeric__tenure_months,1.759201
numeric__customer_lifetime_value,0.35078093
numeric__usage_score,0.26420286
numeric__last_transaction_date_month,0.25826842
numeric__support_tickets_per_tenure_month,0.2253122
numeric__txn_failed_rate,0.18566002
numeric__total_transactions,0.1726023
numeric__login_frequency,0.14659481
numeric__frequency_score,0.1431533
numeric__login_frequency_per_tenure_month,0.13439937
numeric__txn_completed_count,0.12213663
numeric__nps_score,0.07742176
numeric__customer_acquisition_cost,0.071988806
numeric__discount_percentage,0.051096234
numeric__txn_avg_payment_delay_days,0.04939385
numeric__acquisition_month_year,0.04870585
numeric__total_revenue,0.042246602
numeric__customer_profit_margin_calculated,0.04144402
numeric__txn_count_from_transactions,0.03891201
