customer_id,rfm_segment,rfm_score,rfm_total_score,recency,frequency,monetary,average_order_value,customer_lifetime_value,monthly_recurring_revenue,subscription_plan,contract_type,country,industry
CUST_010049,Champions,555,15,3,19,524421.1,27601.110526315788,711257.1,12080.8,Enterprise,Monthly,USA,Education
CUST_008236,Champions,555,15,13,22,486487.6,22113.072727272727,407789.45,13658.02,Enterprise,Multi-Year,USA,Retail
CUST_001130,Champions,555,15,14,19,480131.02,25270.05368421053,70489.9,9553.87,Enterprise,Annual,USA,Other
CUST_010989,Champions,555,15,13,21,465373.52,22160.64380952381,351985.25,9523.84,Enterprise,Annual,Canada,Technology
CUST_000905,Champions,555,15,6,20,456061.63,22803.0815,767104.78,12358.42,Enterprise,Annual,USA,Technology
CUST_017723,Champions,555,15,7,18,447915.48,24884.193333333333,167062.57,9176.97,Enterprise,Multi-Year,Germany,Healthcare
CUST_009513,Champions,555,15,11,19,431384.25,22704.434210526317,158375.89,10174.04,Enterprise,Monthly,Germany,Other
CUST_018712,Champions,555,15,1,19,426345.06,22439.213684210525,114407.43,8676.62,Enterprise,Monthly,Other,Finance
CUST_009125,Champions,555,15,4,25,426252.08,17050.0832,68800.18,8721.15,Enterprise,Multi-Year,USA,Technology
CUST_014936,Champions,555,15,6,22,424413.5,19291.522727272728,87133.38,10267.92,Enterprise,Annual,Germany,Finance
CUST_014065,Champions,555,15,7,20,418112.99,20905.6495,187121.08,7397.81,Enterprise,Annual,UK,Technology
CUST_007536,Champions,555,15,8,23,403115.85,17526.77608695652,310739.42,9458.81,Enterprise,Annual,USA,Education
CUST_000574,Champions,555,15,11,19,400867.13,21098.27,952468.8,10726.0,Enterprise,Annual,Germany,Education
CUST_012929,Champions,555,15,14,18,393199.53,21844.418333333335,207706.15,12135.64,Enterprise,Annual,Canada,Technology
CUST_014733,Champions,555,15,14,21,390328.96,18587.093333333334,308796.8,9136.0,Enterprise,Annual,Germany,Technology
CUST_004485,Champions,555,15,13,24,375443.35,15643.472916666666,297982.91,9140.58,Enterprise,Multi-Year,USA,Technology
CUST_010904,Champions,555,15,14,20,374353.72,18717.685999999998,349017.37,12318.26,Enterprise,Multi-Year,Canada,Finance
CUST_002571,Champions,555,15,9,19,369735.56,19459.766315789475,387718.61,10362.19,Enterprise,Annual,USA,Retail
CUST_007740,Champions,555,15,15,19,369679.86,19456.834736842105,142238.36,12224.9,Enterprise,Annual,UK,Retail
CUST_010012,Champions,555,15,6,19,366802.33,19305.385789473687,649348.85,9495.54,Enterprise,Annual,USA,Manufacturing
CUST_009528,Champions,555,15,1,21,357910.54,17043.359047619047,182771.87,7044.74,Enterprise,Monthly,India,Finance
CUST_012360,Champions,555,15,10,21,356162.22,16960.105714285713,152505.97,9468.22,Enterprise,Annual,Australia,Real Estate
CUST_017699,Champions,555,15,8,19,355850.77,18728.98789473684,191475.66,9955.04,Enterprise,Monthly,Australia,Finance
CUST_018097,Champions,555,15,5,19,355009.56,18684.713684210525,360963.55,6486.66,Enterprise,Monthly,USA,Other
CUST_011393,Champions,555,15,15,22,347908.2,15814.009090909092,113877.34,10259.22,Enterprise,Annual,USA,Technology
CUST_003941,Champions,555,15,9,20,347535.55,17376.7775,129815.81,8384.54,Enterprise,Annual,USA,Retail
CUST_019554,Champions,555,15,3,18,345851.5,19213.972222222223,123041.7,10003.39,Enterprise,Annual,Other,Education
CUST_013095,Champions,555,15,3,19,342877.79,18046.19947368421,233255.88,7652.38,Enterprise,Multi-Year,UK,Healthcare
CUST_017470,Champions,555,15,10,18,342664.43,19036.912777777776,568177.81,7154.39,Enterprise,Monthly,Other,Manufacturing
CUST_009957,Champions,555,15,13,20,340364.01,17018.2005,201745.02,9378.17,Enterprise,Annual,USA,Manufacturing
CUST_001727,Champions,555,15,3,21,339723.42,16177.305714285714,389512.93,8171.6,Enterprise,Annual,Germany,Healthcare
CUST_003148,Champions,555,15,9,24,337106.77,14046.115416666667,128001.17,8277.92,Enterprise,Multi-Year,Canada,Finance
CUST_018732,Champions,555,15,13,21,336679.7,16032.366666666667,431728.59,9024.03,Enterprise,Annual,USA,Technology
CUST_014597,Champions,555,15,1,20,336188.37,16809.4185,143058.24,7903.77,Enterprise,Annual,Other,Other
CUST_009796,Champions,555,15,4,19,335887.63,17678.296315789474,802983.65,9166.48,Enterprise,Annual,Germany,Retail
CUST_000199,Champions,555,15,9,19,335504.16000000003,17658.11368421053,127650.14,10165.54,Enterprise,Annual,Australia,Technology
CUST_017697,Champions,555,15,10,20,334969.34,16748.467,134417.34,9446.38,Enterprise,Multi-Year,Other,Retail
CUST_011564,Champions,555,15,11,19,332328.12,17490.953684210526,369973.14,8985.62,Enterprise,Monthly,USA,Healthcare
CUST_016522,Champions,555,15,7,19,331200.98,17431.63052631579,404150.12,8626.47,Enterprise,Monthly,Other,Technology
CUST_012678,Champions,555,15,13,20,328971.97000000003,16448.5985,80339.21,8570.67,Enterprise,Monthly,USA,Education
CUST_010676,Champions,555,15,6,19,327782.33,17251.70157894737,72075.6,9497.02,Enterprise,Annual,Canada,Manufacturing
CUST_015614,Champions,555,15,9,20,326292.13,16314.6065,41308.77,9136.98,Enterprise,Annual,Germany,Finance
CUST_018419,Champions,555,15,4,18,325193.87,18066.32611111111,301859.25,8624.55,Enterprise,Annual,Australia,Manufacturing
CUST_019490,Champions,555,15,7,20,323020.61,16151.030499999999,275272.11,8322.18,Enterprise,Annual,USA,Retail
CUST_018769,Champions,555,15,7,19,322757.97,16987.261578947368,212011.58,9175.9,Enterprise,Annual,Canada,Healthcare
CUST_004524,Champions,555,15,9,19,321679.46,16930.497894736844,540053.89,8215.83,Enterprise,Monthly,USA,Technology
CUST_003282,Champions,555,15,10,20,320833.57,16041.6785,568256.58,8783.99,Enterprise,Multi-Year,USA,Real Estate
CUST_013135,Champions,555,15,6,19,320665.95,16877.155263157896,455574.57,8820.92,Enterprise,Annual,India,Technology
CUST_015399,Champions,555,15,11,20,319554.52,15977.726,307933.08,9886.08,Enterprise,Multi-Year,USA,Retail
CUST_016911,Champions,555,15,12,19,318170.35,16745.80789473684,133650.68,10759.3,Enterprise,Multi-Year,UK,Other
CUST_016514,Champions,555,15,5,18,317618.77,17645.487222222222,249141.56,9194.51,Enterprise,Multi-Year,Other,Retail
CUST_011643,Champions,555,15,13,21,315546.03,15026.00142857143,181909.14,8652.53,Enterprise,Annual,USA,Real Estate
CUST_018366,Champions,555,15,6,18,314644.28,17480.23777777778,126641.44,8718.07,Enterprise,Multi-Year,Australia,Healthcare
CUST_014055,Champions,555,15,11,19,314121.5,16532.71052631579,180360.15,8737.17,Enterprise,Annual,India,Retail
CUST_011086,Champions,555,15,8,20,311307.76,15565.388,295352.62,7876.07,Enterprise,Annual,USA,Manufacturing
CUST_011096,Champions,555,15,13,19,308436.17,16233.482631578947,221369.79,9234.14,Enterprise,Annual,UK,Manufacturing
CUST_011008,Champions,555,15,15,20,308434.22,15421.711,401567.25,7789.02,Enterprise,Monthly,USA,Manufacturing
