customer_id,customer_revenue,customer_profit,customer_cost,transaction_count,customer_profit_margin,country,region,customer_segment,acquisition_channel,subscription_plan
CUST_010049,524421.1,446375.32,78045.78,19,0.8511772695644779,USA,North America,Strategic,Paid Search,Enterprise
CUST_000464,474199.2,429864.43,44334.77,17,0.9065060210983064,USA,North America,Strategic,Organic Search,Enterprise
CUST_001130,480131.02,426679.75,53451.27,19,0.8886735749754306,USA,North America,Strategic,Organic Search,Enterprise
CUST_016480,459007.28,413022.85,45984.43,19,0.8998176455937691,USA,North America,Strategic,Partnership,Enterprise
CUST_010989,465373.52,412756.14999999997,52617.369999999995,21,0.8869351870299796,Canada,North America,Strategic,Organic Search,Enterprise
CUST_008236,486487.6,404932.13,81555.47,22,0.8323585842681294,USA,North America,Strategic,Content Marketing,Enterprise
CUST_016321,445122.96,397431.81,71648.62999999999,17,0.8928584811711352,USA,North America,Strategic,Outbound Sales,Enterprise
CUST_017723,447915.48,394971.31,52944.17,20,0.8817987491747328,Germany,Europe,Strategic,Referral,Enterprise
CUST_018329,431457.13,386530.7,44926.43,18,0.8958727834675023,UK,Europe,Strategic,Outbound Sales,Enterprise
CUST_007973,437256.07,381750.86,55505.21,17,0.8730601727267044,India,APAC,Strategic,Paid Social,Enterprise
CUST_017664,445894.17,375763.08,70131.09,19,0.8427180826338232,India,APAC,Strategic,Referral,Enterprise
CUST_009513,431384.25,374638.99,56745.26,19,0.8684577380838544,Germany,Europe,Strategic,Paid Search,Enterprise
CUST_000905,456061.63,373273.7,82787.93000000001,21,0.8184720560683871,USA,North America,Strategic,Outbound Sales,Enterprise
CUST_018712,430909.14,372270.02,71848.45,20,0.8639176695114892,Other,MEA,Strategic,Organic Search,Enterprise
CUST_009929,422054.45,371201.26,70113.67,18,0.8795103570167309,India,APAC,Strategic,Outbound Sales,Enterprise
CUST_014065,418112.99,370530.91000000003,47582.08,20,0.8861980346508728,UK,Europe,Strategic,Paid Social,Enterprise
CUST_007976,419105.31,359915.68,59189.63,18,0.8587714624756245,USA,North America,Strategic,Content Marketing,Enterprise
CUST_009125,426252.08,355139.37,71112.70999999999,25,0.8331674768601716,USA,North America,Strategic,Paid Social,Enterprise
CUST_012333,429787.66000000003,352784.33999999997,97041.34999999999,18,0.820834036975375,Canada,North America,Strategic,Content Marketing,Enterprise
CUST_014936,424413.5,352170.36,72243.14,24,0.8297812392866862,Germany,Europe,Strategic,Paid Social,Enterprise
